"","complnum","crimesuccess","HOUSING_PSA","JURISDICTION_CODE","jurisdic","code1","crimelevel","loc_desc","offense_desc1","park","PATROL_BORO","code2","offense_desc2","premise_type","date","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"488",745075852,"COMPLETED",NA,1,"N.Y. TRANSIT POLICE",344,"MISDEMEANOR",NA,"ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN SOUTH",101,"ASSAULT 3","TRANSIT - NYC SUBWAY","05/06/2018","42 ST.-GRAND CENTRAL","25-44","WHITE HISPANIC","M",4,"25-44","WHITE","M",40.751449824,-73.976050545,"(40.751449824, -73.976050545)","2018","06","05"
"489",340052010,"ATTEMPTED",NA,0,"N.Y. POLICE DEPT",104,"FELONY","FRONT OF","RAPE",NA,"PATROL BORO MAN NORTH",159,"RAPE 1,ATTEMPT","RESIDENCE - APT. HOUSE","05/06/2018",NA,"UNKNOWN","BLACK","M",NA,"25-44","WHITE HISPANIC","F",40.851487774,-73.935457967,"(40.851487774, -73.935457967)","2018","06","05"
"490",222693005,"COMPLETED",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","FRONT OF","ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN NORTH",113,"MENACING,UNCLASSIFIED","DRY CLEANER/LAUNDRY","05/06/2018",NA,"UNKNOWN","UNKNOWN","M",NA,"UNKNOWN","BLACK","M",40.799184226,-73.951844971,"(40.799184226, -73.951844971)","2018","06","05"
"491",519477294,"COMPLETED",NA,0,"N.Y. POLICE DEPT",116,"FELONY","INSIDE","SEX CRIMES",NA,"PATROL BORO MAN SOUTH",177,"SEXUAL ABUSE","RESIDENCE - APT. HOUSE","05/06/2018",NA,"18-24","WHITE HISPANIC","M",NA,"25-44","ASIAN/PAC.ISL","F",40.753938938,-73.994843655,"(40.753938938, -73.994843655)","2018","06","05"
"492",402110176,"COMPLETED",NA,0,"N.Y. POLICE DEPT",107,"FELONY","INSIDE","BURGLARY",NA,"PATROL BORO MAN SOUTH",211,"BURGLARY,COMMERCIAL,DAY","CONSTRUCTION SITE","05/06/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"UNKNOWN","UNKNOWN","D",40.761358756,-73.978057627,"(40.761358756, -73.978057627)","2018","06","05"
"493",751988326,"COMPLETED",NA,97,"OTHER",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN NORTH",404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)","OTHER","05/06/2018",NA,NA,NA,NA,NA,"45-64","WHITE","M",40.787874599,-73.928181646,"(40.787874599, -73.928181646)","2018","06","05"
"494",539033364,"COMPLETED",NA,3,"PORT AUTHORITY",351,"MISDEMEANOR","INSIDE","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN SOUTH",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","BUS TERMINAL","05/06/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.756266207,-73.990501248,"(40.756266207, -73.990501248)","2018","06","05"
"495",681533317,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","FRONT OF","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",419,"LARCENY,GRAND FROM PERSON,UNCL","STREET","05/06/2018",NA,"UNKNOWN","BLACK","U",NA,"18-24","WHITE","M",40.713582285,-73.987830795,"(40.713582285, -73.987830795)","2018","06","05"
"496",129163115,"COMPLETED",NA,0,"N.Y. POLICE DEPT",106,"FELONY","INSIDE","FELONY ASSAULT",NA,"PATROL BORO MAN NORTH",109,"ASSAULT 2,1,UNCLASSIFIED","RESIDENCE - APT. HOUSE","05/06/2018",NA,"25-44","BLACK HISPANIC","M",NA,"25-44","BLACK HISPANIC","M",40.824045452,-73.950724962,"(40.824045452, -73.950724962)","2018","06","05"
"497",312823742,"COMPLETED",NA,0,"N.Y. POLICE DEPT",106,"FELONY","INSIDE","FELONY ASSAULT",NA,"PATROL BORO MAN NORTH",109,"ASSAULT 2,1,UNCLASSIFIED","RESIDENCE - APT. HOUSE","05/06/2018",NA,"25-44","BLACK HISPANIC","M",NA,"25-44","BLACK HISPANIC","M",40.824045452,-73.950724962,"(40.824045452, -73.950724962)","2018","06","05"
