"","complnum","date","code1","offense_desc1","code2","offense_desc2","crimesuccess","crimelevel","jurisdic","loc_desc","premise_type","park","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"2598",332537948,"04/13/2017",341,"PETIT LARCENY",343,"LARCENY,PETIT OF BICYCLE","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","OPPOSITE OF","STREET",NA,40.73563375,-73.98860618,"(40.73563375, -73.98860618)","2017","12","04"
"2599",909652234,"04/13/2017",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","CHAIN STORE",NA,40.762553366,-73.968938778,"(40.762553366, -73.968938778)","2017","12","04"
"2600",181820456,"04/13/2017",341,"PETIT LARCENY",349,"LARCENY,PETIT OF LICENSE PLATE","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESTAURANT/DINER",NA,40.753831441,-73.988563365,"(40.753831441, -73.988563365)","2017","12","04"
"2601",929337416,"04/13/2017",109,"GRAND LARCENY",424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.799044376,-73.95930709,"(40.799044376, -73.95930709)","2017","12","04"
"2602",922845122,"04/13/2017",351,"CRIMINAL MISCHIEF & RELATED OF",254,"MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.818815405,-73.95408521,"(40.818815405, -73.95408521)","2017","12","04"
"2603",261563394,"04/13/2017",341,"PETIT LARCENY",339,"LARCENY,PETIT FROM OPEN AREAS,","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"BUS (OTHER)",NA,40.754849215,-73.984119991,"(40.754849215, -73.984119991)","2017","12","04"
"2604",772169037,"04/13/2017",107,"BURGLARY",214,"BURGLARY,COMMERCIAL,UNKNOWN TI","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","CONSTRUCTION SITE",NA,40.751602708,-73.972383495,"(40.751602708, -73.972383495)","2017","12","04"
"2605",425720741,"04/13/2017",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.795060716,-73.974817746,"(40.795060716, -73.974817746)","2017","12","04"
"2606",975121671,"04/13/2017",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.723169283,-73.984127538,"(40.723169283, -73.984127538)","2017","12","04"
"2607",614544118,"04/13/2017",107,"BURGLARY",221,"BURGLARY,RESIDENCE,DAY","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.755359577,-73.969642365,"(40.755359577, -73.969642365)","2017","12","04"
"2608",251801829,"04/13/2017",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","VARIETY STORE",NA,40.791240623,-73.944924059,"(40.791240623, -73.944924059)","2017","12","04"
"2609",931348791,"04/13/2017",351,"CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.813474015,-73.947286365,"(40.813474015, -73.947286365)","2017","12","04"
"2610",747144290,"04/13/2017",110,"GRAND LARCENY OF MOTOR VEHICLE",451,"LARCENY,GRAND OF MOTORCYCLE","COMPLETED","FELONY","N.Y. POLICE DEPT",NA,"STREET",NA,40.864647509,-73.928901353,"(40.864647509, -73.928901353)","2017","12","04"
"2611",469609411,"04/13/2017",109,"GRAND LARCENY",409,"LARCENY,GRAND BY EXTORTION","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.776139148,-73.977872229,"(40.776139148, -73.977872229)","2017","12","04"
"2612",485141849,"04/13/2017",361,"OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"COMMERCIAL BUILDING",NA,40.740105802,-73.976198967,"(40.740105802, -73.976198967)","2017","12","04"
"2613",179228099,"04/13/2017",116,"SEX CRIMES",177,"SEXUAL ABUSE","COMPLETED","FELONY","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,NA,NA,NA,"2017","12","04"
"2614",262930487,"04/13/2017",107,"BURGLARY",221,"BURGLARY,RESIDENCE,DAY","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.816004512,-73.941319728,"(40.816004512, -73.941319728)","2017","12","04"
"2615",224493281,"04/13/2017",341,"PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE-HOUSE",NA,40.777254828,-73.986346022,"(40.777254828, -73.986346022)","2017","12","04"
"2616",335614923,"04/13/2017",107,"BURGLARY",221,"BURGLARY,RESIDENCE,DAY","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.725196944,-73.97959203,"(40.725196944, -73.97959203)","2017","12","04"
"2617",835596931,"04/13/2017",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.726823891,-73.975990843,"(40.726823891, -73.975990843)","2017","12","04"
"2618",551398426,"04/13/2017",107,"BURGLARY",221,"BURGLARY,RESIDENCE,DAY","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.811920986,-73.942551584,"(40.811920986, -73.942551584)","2017","12","04"
"2619",347400105,"04/13/2017",107,"BURGLARY",221,"BURGLARY,RESIDENCE,DAY","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.743511609,-73.994227355,"(40.743511609, -73.994227355)","2017","12","04"
"2620",656226787,"04/13/2017",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.71803315,-73.979745736,"(40.71803315, -73.979745736)","2017","12","04"
"2621",537352914,"04/13/2017",341,"PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.849035371,-73.933034994,"(40.849035371, -73.933034994)","2017","12","04"
"2622",771857750,"04/13/2017",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.811862362,-73.935500005,"(40.811862362, -73.935500005)","2017","12","04"
"2623",746627506,"04/13/2017",109,"GRAND LARCENY",405,"LARCENY,GRAND BY THEFT OF CREDIT CARD","COMPLETED","FELONY","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.76293349,-73.995384438,"(40.76293349, -73.995384438)","2017","12","04"
"2624",509612633,"04/13/2017",351,"CRIMINAL MISCHIEF & RELATED OF",254,"MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.765604885,-73.978124818,"(40.765604885, -73.978124818)","2017","12","04"
"2625",647583408,"04/13/2017",361,"OFF. AGNST PUB ORD SENSBLTY &",649,"FALSE REPORT UNCLASSIFIED","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.750021973,-73.991339463,"(40.750021973, -73.991339463)","2017","12","03"
"2626",765059745,"04/13/2017",106,"FELONY ASSAULT",109,"ASSAULT 2,1,UNCLASSIFIED","ATTEMPTED","FELONY","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.750021973,-73.991339463,"(40.750021973, -73.991339463)","2017","12","03"
"2627",288768918,"04/12/2017",118,"DANGEROUS WEAPONS",793,"WEAPONS POSSESSION 3","COMPLETED","FELONY","N.Y. HOUSING POLICE","FRONT OF","RESIDENCE - PUBLIC HOUSING",NA,40.79845524,-73.948082015,"(40.79845524, -73.948082015)","2017","12","04"
"2628",157956718,"04/12/2017",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","DRUG STORE",NA,40.778412523,-73.98208877,"(40.778412523, -73.98208877)","2017","12","04"
"2629",194409393,"04/12/2017",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","DRUG STORE",NA,40.789947399,-73.975354157,"(40.789947399, -73.975354157)","2017","12","04"
"2630",423076740,"04/12/2017",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","OTHER",NA,40.718021181,-73.997519537,"(40.718021181, -73.997519537)","2017","12","04"
"2631",869330383,"04/12/2017",351,"CRIMINAL MISCHIEF & RELATED OF",254,"MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.859274518,-73.926329537,"(40.859274518, -73.926329537)","2017","12","04"
